"LenStay","Age","InfectionRisk","NumBeds","MedSchAff","PatientsPerDay","NumNurse"
7.13,55.7,4.1,279,"2",207,241
8.82,58.2,1.6,80,"2",51,52
8.34,56.9,2.7,107,"2",82,54
8.95,53.7,5.6,147,"2",53,148
11.2,56.5,5.7,180,"2",134,151
9.76,50.9,5.1,150,"2",147,106
9.68,57.8,4.6,186,"2",151,129
11.18,45.7,5.4,640,"1",399,360
8.67,48.2,4.3,182,"2",130,118
8.84,56.3,6.3,85,"2",59,66
11.07,53.2,4.9,768,"1",591,656
8.3,57.2,4.3,167,"2",105,59
12.78,56.8,7.7,322,"1",252,349
7.58,56.7,3.7,97,"2",59,79
9,56.3,4.2,72,"2",61,38
11.08,50.2,5.5,387,"2",326,405
8.28,48.1,4.5,108,"2",84,73
11.62,53.9,6.4,133,"2",113,101
9.06,52.8,4.2,134,"2",103,125
9.35,53.8,4.1,833,"2",547,519
7.53,42,4.2,95,"2",47,49
10.24,49,4.8,195,"2",163,170
9.78,52.3,5,270,"1",240,198
9.84,62.2,4.8,600,"2",468,497
9.2,52.2,4,298,"1",244,236
8.28,49.5,3.9,546,"1",413,436
9.31,47.2,4.5,170,"2",124,173
8.19,52.1,3.2,176,"2",156,88
11.65,54.5,4.4,248,"2",217,189
9.89,50.5,4.9,167,"2",113,106
11.03,49.9,5,318,"2",270,335
9.84,53,5.2,210,"2",200,239
11.77,54.1,5.3,196,"2",164,165
13.59,54,6.1,312,"2",258,169
9.74,54.4,6.3,221,"2",170,172
10.33,55.8,5,266,"2",181,149
9.97,58.2,2.8,90,"2",69,42
7.84,49.1,4.6,60,"2",50,45
10.47,53.2,4.1,196,"2",168,153
8.16,60.9,1.3,73,"2",49,21
8.48,51.1,3.7,166,"2",145,118
10.72,53.8,4.7,113,"2",90,107
11.2,45,3,130,"2",95,56
10.12,51.7,5.6,362,"1",313,264
8.37,50.7,5.5,115,"2",96,88
10.16,54.2,4.6,831,"1",581,629
19.56,59.9,6.5,306,"2",273,172
10.9,57.2,5.5,593,"2",446,211
7.67,51.7,1.8,106,"2",93,35
8.88,51.5,4.2,305,"2",238,197
11.48,57.6,5.6,252,"2",207,251
9.23,51.6,4.3,620,"2",413,420
11.41,61.1,7.6,535,"2",330,273
12.07,43.7,7.8,157,"2",115,76
8.63,54,3.1,76,"2",39,44
11.15,56.5,3.9,281,"2",217,199
7.14,59,3.7,70,"2",37,35
7.65,47.1,4.3,318,"2",265,314
10.73,50.6,3.9,445,"1",374,345
11.46,56.9,4.5,191,"2",153,132
10.42,58,3.4,119,"2",67,64
11.18,51,5.7,595,"1",546,392
7.93,64.1,5.4,68,"2",42,49
9.66,52.1,4.4,83,"2",66,95
7.78,45.5,5,489,"2",391,329
9.42,50.6,4.3,508,"2",421,528
10.02,49.5,4.4,265,"2",191,202
8.58,55,3.7,304,"2",248,218
9.61,52.4,4.5,487,"2",404,220
8.03,54.2,3.5,97,"2",65,55
7.39,51,4.2,72,"2",38,67
7.08,52,2,87,"2",52,57
9.53,51.5,5.2,298,"2",241,193
10.05,52,4.5,184,"1",144,151
8.45,38.8,3.4,235,"2",143,124
6.7,48.6,4.5,76,"2",51,79
8.9,49.7,2.9,52,"2",37,35
10.23,53.2,4.9,752,"1",595,446
8.88,55.8,4.4,237,"2",165,182
10.3,59.6,5.1,175,"2",113,73
10.79,44.2,2.9,461,"1",320,196
7.94,49.5,3.5,195,"2",139,116
7.63,52.1,5.5,197,"2",109,110
8.77,54.5,4.7,143,"2",85,87
8.09,56.9,1.7,92,"2",61,61
9.05,51.2,4.1,195,"2",127,112
7.91,52.8,2.9,477,"2",349,188
10.39,54.6,4.3,353,"2",223,200
9.36,54.1,4.8,165,"2",127,158
11.41,50.4,5.8,424,"1",359,335
8.86,51.3,2.9,100,"2",65,53
8.93,56,2,95,"2",59,56
8.92,53.9,1.3,56,"2",40,14
8.15,54.9,5.3,99,"2",55,71
9.77,50.2,5.3,154,"2",123,148
8.54,56.1,2.5,98,"2",57,75
8.66,52.8,3.8,246,"2",178,177
12.01,52.8,4.8,298,"2",237,115
7.95,51.8,2.3,163,"2",128,93
10.15,51.9,6.2,568,"1",452,371
9.76,53.2,2.6,64,"2",47,55
9.89,45.2,4.3,190,"2",141,112
7.14,57.6,2.7,92,"2",40,50
13.95,65.9,6.6,356,"2",308,182
9.44,52.5,4.5,297,"2",230,263
10.8,63.9,2.9,130,"2",69,62
7.14,51.7,1.4,115,"2",90,19
8.02,55,2.1,91,"2",44,32
11.8,53.8,5.7,571,"1",441,469
9.5,49.3,5.8,98,"2",68,46
7.7,56.9,4.4,129,"2",85,136
17.94,56.2,5.9,835,"1",791,407
9.41,59.5,3.1,29,"2",20,22
